player_name,player_id_agg,min_tourn_date,max_tourn_date,total_matches,player_id,flag,Aggregate
Anthea Murfet,208811,08/11/2004 00:00,08/11/2004 00:00,1,208811,FALSE,
Anthea Odonoghue,224283,08/07/1968 00:00,08/07/1974 00:00,4,224283,FALSE,
Anthea Rigby,223933,22/04/1968 00:00,22/06/1970 00:00,8,223933,FALSE,
Anthea Stewart,201153,26/05/1975 00:00,17/10/1983 00:00,167,201153,FALSE,
Anthonia Onwochie,205661,17/12/2007 00:00,17/12/2007 00:00,1,205661,FALSE,
Antia Ghiorghiu,208961,13/06/2005 00:00,26/06/2006 00:00,9,208961,FALSE,
Antje Rubbrecht,216032,13/06/2016 00:00,30/10/2017 00:00,5,216032,FALSE,
Antoaneta Neykova,206688,05/09/1994 00:00,25/11/1997 00:00,15,206688,FALSE,
Antoaneta Pandjerova,202711,15/03/1993 00:00,02/06/2003 00:00,284,202711,FALSE,
Antoaneta Tzarvulkova,211410,19/09/2011 00:00,03/10/2011 00:00,2,211410,FALSE,
Antoinette Mmoh,206536,21/08/2000 00:00,21/08/2000 00:00,1,206536,FALSE,
Antoinette Veloso,235493,22/07/1991 00:00,05/08/1991 00:00,2,235493,FALSE,
Antonela Marincic,209318,08/05/2006 00:00,07/05/2007 00:00,3,209318,FALSE,
Antonela Susak,202901,16/04/2007 00:00,22/09/2014 00:00,47,202901,FALSE,
Antonela Voina Timmerbeil,204447,10/02/1992 00:00,06/09/2004 00:00,247,204447,FALSE,
Antonella Altamirano,214205,25/11/2013 00:00,25/11/2013 00:00,1,214205,FALSE,
Antonella Bramato,211877,20/08/2012 00:00,02/06/2014 00:00,6,211877,FALSE,
Antonella Canapi,203735,02/06/1975 00:00,03/09/1990 00:00,65,203735,FALSE,
Antonella Galeano,210967,08/11/2010 00:00,15/11/2010 00:00,2,210967,FALSE,
Antonella La Cava,221224,06/08/2018 00:00,05/08/2019 00:00,2,221224,FALSE,
Antonella La Viola,210211,01/12/2008 00:00,08/11/2010 00:00,6,210211,FALSE,
Antonella Martinetti,214128,04/11/2013 00:00,19/10/2015 00:00,3,214128,FALSE,
Antonella Murialdo,214089,21/10/2013 00:00,16/06/2014 00:00,2,214089,FALSE,
Antonella Oneto,229646,04/08/1980 00:00,04/08/1980 00:00,1,229646,FALSE,
Antonella Pozzi,206722,08/04/1996 00:00,23/06/1998 00:00,22,206722,FALSE,
Antonella Rosa,200915,18/03/1974 00:00,07/05/1979 00:00,24,200915,FALSE,
