player_name,player_id,min_tourn_date,max_tourn_date,total_matches,Flag
Myrna Gaitor,235597,21/10/1991 00:00,21/10/1991 00:00,1,0
Myrna Olaya,222486,12/08/2019 00:00,12/08/2019 00:00,1,0
Myrna Rocha,232971,06/07/1987 00:00,31/10/1988 00:00,3,0
Myrte Molenveld,209443,04/09/2006 00:00,04/09/2006 00:00,1,0
Myrtille Georges,202707,15/09/2008 00:00,21/09/2020 00:00,585,0
Myrzaiym Sherikulova,221826,20/07/2017 00:00,20/07/2017 00:00,2,0
N Akimoto,229677,20/10/1980 00:00,20/10/1980 00:00,1,0
N Avdeeva,230843,19/07/1982 00:00,19/07/1982 00:00,1,0
N Bass,224442,17/07/1978 00:00,17/07/1978 00:00,1,0
N Bremmer,226588,19/02/1973 00:00,19/02/1973 00:00,1,0
N Bremner,229333,12/02/1980 00:00,12/02/1980 00:00,1,0
N Christ,229619,22/07/1980 00:00,22/07/1980 00:00,1,0
N Christiaensen,223929,16/04/1969 00:00,16/04/1969 00:00,1,0
N Delaigue,229382,19/03/1980 00:00,05/07/1980 00:00,2,0
N Fischer,229600,19/07/1980 00:00,19/07/1980 00:00,1,0
N Goulden,223919,01/04/1969 00:00,01/04/1969 00:00,1,0
N Lileyeva,227715,05/10/1970 00:00,05/10/1970 00:00,1,0
N Marman,203739,02/06/1975 00:00,02/06/1975 00:00,1,0
N Peters,224090,15/07/1968 00:00,15/07/1968 00:00,1,0
N Prinsloo,223917,01/04/1969 00:00,01/04/1969 00:00,1,0
N Spence,223591,10/07/1972 00:00,08/07/1974 00:00,3,0
N Tramacchi,224365,24/04/1978 00:00,29/05/1978 00:00,7,0
N Walker,227080,27/09/1972 00:00,27/09/1972 00:00,1,0
N Yamaguchi,233055,05/10/1987 00:00,05/10/1987 00:00,2,0
N Zaki,227610,17/03/1969 00:00,16/03/1970 00:00,2,0
Na Dong,252516,04/10/2021 00:00,14/11/2022 00:00,56,0
Na Fan,206785,07/06/1999 00:00,16/07/2001 00:00,2,0
Na Hee Lee,210918,25/10/2010 00:00,05/09/2011 00:00,2,0
Na Hyun Kang,222180,03/06/2019 00:00,05/09/2022 00:00,13,0
Na Lae Han,204291,01/09/2008 00:00,14/11/2022 00:00,563,0
Na Li,201419,23/02/1999 00:00,23/06/2014 00:00,699,0
Na Ri Kim,205789,15/05/2006 00:00,05/09/2022 00:00,238,0
Na Young Lee,219767,18/06/2018 00:00,18/06/2018 00:00,1,0
Nabila Bouchabou,208066,18/11/1991 00:00,25/06/2001 00:00,5,0
Nabila Farah,210521,19/10/2009 00:00,23/07/2012 00:00,8,0
Nabila Yasri,208233,08/07/2002 00:00,05/07/2004 00:00,3,0
Nada Dimovska,214564,16/06/2014 00:00,14/07/2014 00:00,2,0
Nada Fouad,222028,29/04/2019 00:00,22/08/2022 00:00,51,0
Nada Sghyar,212888,14/05/2007 00:00,14/05/2007 00:00,1,0
Nada Zaher,213747,03/06/2013 00:00,03/06/2013 00:00,1,0
Nadege Vergos,202528,09/02/2004 00:00,08/11/2010 00:00,97,0
Nadeja Karpol,213432,04/04/1994 00:00,30/10/1995 00:00,6,0
Nadejda Guskova,201704,03/07/2006 00:00,09/01/2012 00:00,95,0
Nadejda Ostrovskaya,201084,02/10/1995 00:00,12/12/2005 00:00,407,0
Nadejda Teodorova,227680,03/08/1970 00:00,03/08/1970 00:00,1,0
Nadejda Vassileva,205011,04/10/1999 00:00,28/03/2011 00:00,140,0
Nadezda Gorbachkova,203536,03/07/2006 00:00,26/08/2019 00:00,90,0
Nadezda Khalturina,222785,07/10/2019 00:00,22/02/2021 00:00,10,0
Nadezda Samoylo,205149,06/08/2001 00:00,19/10/2009 00:00,66,0
Nadezda Thelyh,236455,25/09/1995 00:00,25/09/1995 00:00,1,0
Nadezhda Petkova,252513,11/10/2021 00:00,11/10/2021 00:00,1,0
Nadezhda Sedysheva,216272,26/09/2016 00:00,26/09/2016 00:00,1,0
Nadia Abad,236976,29/03/2021 00:00,29/03/2021 00:00,1,0
Nadia Abdala,202466,04/10/2004 00:00,10/09/2012 00:00,107,0
Nadia Becherescu,229361,18/02/1980 00:00,18/02/1980 00:00,2,0
Nadia Bindler,232938,18/05/1987 00:00,18/05/1987 00:00,1,0
Nadia Brunzlow,220876,05/11/2018 00:00,05/11/2018 00:00,1,0
Nadia Choqri,207432,31/07/1995 00:00,31/07/2000 00:00,6,0
Nadia Chvanova,206571,25/09/1995 00:00,28/10/1996 00:00,8,0
Nadia Echeverria Alam,206433,23/08/2010 00:00,12/09/2022 00:00,192,0
Nadia Fernandez,234965,07/05/1990 00:00,16/11/1992 00:00,5,0
Nadia Frederika,210424,27/07/2009 00:00,03/08/2009 00:00,2,0
Nadia Johnston,203080,26/08/1996 00:00,03/03/2003 00:00,154,0
Nadia Justiniano,215664,19/10/2015 00:00,19/10/2015 00:00,1,0
Nadia Kilani,212148,08/05/1998 00:00,12/04/2002 00:00,7,0
Nadia Lalami,201641,25/04/2005 00:00,09/12/2013 00:00,169,0
Nadia Lee,208910,04/04/2005 00:00,09/10/2006 00:00,16,0
Nadia Mechaala Gordillo,213711,13/05/2013 00:00,23/09/2013 00:00,2,0
Nadia Petrova,200069,07/10/1996 00:00,31/03/2014 00:00,843,0
Nadia Podoroska,206408,13/06/2011 00:00,14/11/2022 00:00,451,0
Nadia Pope,208335,19/05/2003 00:00,19/05/2003 00:00,1,0
Nadia Rajan,221893,18/02/2019 00:00,18/02/2019 00:00,1,0
Nadia Ravita,210421,27/07/2009 00:00,25/11/2019 00:00,12,0
Nadia Rawson,219635,24/09/2018 00:00,25/07/2022 00:00,21,0
Nadia Solomon,207890,28/05/2001 00:00,29/11/2004 00:00,5,0
Nadia Streltsova,204046,29/04/1991 00:00,14/10/1996 00:00,38,0
Nadia Van Heerden,214538,09/06/2014 00:00,17/04/2017 00:00,4,0
Nadia Victoria Nemeth,260469,01/08/2022 00:00,29/08/2022 00:00,2,0
Nadia Yahya Tear Tjahjana,211233,20/06/2011 00:00,20/06/2011 00:00,1,0
Nadiia Baryshpolets,211308,01/08/2011 00:00,02/07/2012 00:00,2,0
Nadin Ahmed,258194,06/12/2021 00:00,27/12/2021 00:00,4,0
Nadin Amr,223266,02/03/2020 00:00,02/03/2020 00:00,1,0
Nadin Ercegovic,200680,19/09/1988 00:00,10/06/1996 00:00,250,0
Nadina Secerbegovic,209533,23/10/2006 00:00,07/04/2008 00:00,11,0
Nadine Abid,238083,26/04/2021 00:00,26/12/2022 00:00,12,0
Nadine Arbaizar Martinez,239164,24/05/2021 00:00,05/12/2022 00:00,4,0
Nadine Aufschlag,234463,27/11/1989 00:00,09/07/1990 00:00,3,0
Nadine Balzer,236284,22/08/1994 00:00,29/08/1994 00:00,2,0
Nadine De Villiers,212017,10/12/2012 00:00,02/06/2014 00:00,5,0
Nadine Del Carmen,223134,04/02/2020 00:00,08/02/2020 00:00,4,0
Nadine Fahoum,205216,08/11/2004 00:00,19/11/2007 00:00,20,0
Nadine Hassinger,205067,30/07/2001 00:00,11/04/2005 00:00,34,0
Nadine Keller,221254,20/08/2018 00:00,12/12/2022 00:00,165,0
